"dteday","cnt"
"2011-01-31",72
"2011-01-31",185
"2011-01-31",112
"2011-01-31",69
"2011-01-31",48
"2011-01-31",68
"2011-01-31",54
"2011-01-31",86
"2011-01-31",44
"2011-01-31",86
"2011-01-31",161
"2011-01-31",156
"2011-01-31",111
"2011-01-31",78
"2011-01-31",56
"2011-01-31",34
"2011-01-31",17
"2011-02-20",17
"2011-02-20",16
"2011-02-20",17
"2011-02-20",18
"2011-02-20",1
"2011-02-20",2
"2011-02-20",2
"2011-02-20",24
"2011-02-20",55
"2011-02-20",104
"2011-02-20",161
"2011-02-20",182
"2011-02-20",198
"2011-02-20",212
"2011-02-20",168
"2011-02-20",147
"2011-02-20",146
"2011-02-20",101
"2011-02-20",42
"2011-02-20",42
"2011-02-20",56
"2011-02-20",47
"2011-02-20",54
"2011-02-21",37
"2011-02-21",13
"2011-02-21",4
"2011-02-21",5
"2011-02-21",1
"2011-02-21",3
"2011-02-21",8
"2011-02-21",19
"2011-02-21",63
"2011-02-21",57
"2011-02-21",81
"2011-02-21",90
"2011-02-21",93
"2011-02-21",103
"2011-02-21",116
"2011-02-21",87
"2011-02-21",56
"2011-02-21",80
"2011-02-21",66
"2011-02-21",49
"2011-02-21",29
"2011-02-21",34
"2011-02-21",11
"2011-02-21",2
"2011-02-22",7
"2011-02-22",40
"2011-02-22",114
"2011-02-22",106
"2011-02-22",44
"2011-02-22",50
"2011-02-22",55
"2011-02-22",55
"2011-02-22",58
"2011-02-22",69
"2011-02-22",86
"2011-02-22",196
"2011-02-22",167
"2011-02-22",118
"2011-02-22",105
"2011-02-22",82
"2011-02-22",77
"2011-02-22",21
"2011-02-23",6
"2011-02-23",4
"2011-02-23",1
"2011-02-23",2
"2011-02-23",8
"2011-02-23",36
"2011-02-23",96
"2011-02-23",235
"2011-02-23",139
"2011-02-23",51
"2011-02-23",69
"2011-02-23",67
"2011-02-23",87
"2011-02-23",78
"2011-02-23",72
"2011-02-23",94
"2011-02-23",222
"2011-02-23",209
"2011-02-23",141
"2011-02-23",109
"2011-02-23",91
"2011-02-23",61
"2011-02-23",39
"2011-02-24",11
"2011-02-24",7
"2011-02-24",4
"2011-02-24",2
"2011-02-24",4
"2011-02-24",58
"2011-02-24",104
"2011-02-24",252
"2011-02-24",137
"2011-02-24",57
"2011-02-24",79
"2011-02-24",95
"2011-02-24",88
"2011-02-24",69
"2011-02-24",63
"2011-02-24",71
"2011-02-24",177
"2011-02-24",137
"2011-02-24",115
"2011-02-24",89
"2011-02-24",83
"2011-02-24",55
"2011-02-24",50
"2011-02-25",9
"2011-02-25",10
"2011-02-25",3
"2011-02-25",2
"2011-02-25",6
"2011-02-25",11
"2011-02-25",35
"2011-02-25",73
"2011-02-25",114
"2011-02-25",49
"2011-02-25",59
"2011-02-25",115
"2011-02-25",83
"2011-02-25",85
"2011-02-25",55
"2011-02-25",102
"2011-02-25",189
"2011-02-25",157
"2011-02-25",90
"2011-02-25",62
"2011-02-25",63
"2011-02-25",50
"2011-02-25",39
"2011-02-26",28
"2011-02-26",27
"2011-02-26",12
"2011-02-26",8
"2011-02-26",2
"2011-02-26",10
"2011-02-26",7
"2011-02-26",22
"2011-02-26",57
"2011-02-26",74
"2011-02-26",85
"2011-02-26",126
"2011-02-26",160
"2011-02-26",174
"2011-02-26",211
"2011-02-26",165
"2011-02-26",171
"2011-02-26",183
"2011-02-26",137
"2011-02-26",94
"2011-02-26",68
"2011-02-26",68
"2011-02-26",46
"2011-02-26",34
"2011-02-27",34
"2011-02-27",37
"2011-02-27",22
"2011-02-27",11
"2011-02-27",2
"2011-02-27",3
"2011-02-27",14
"2011-02-27",35
"2011-02-27",59
"2011-02-27",103
"2011-02-27",125
"2011-02-27",193
"2011-02-27",259
"2011-02-27",282
"2011-02-27",261
"2011-02-27",268
"2011-02-27",187
"2011-02-27",127
"2011-02-27",102
"2011-02-27",81
"2011-02-27",69
"2011-02-27",69
"2011-02-27",59
"2011-02-28",30
"2011-02-28",8
"2011-02-28",1
"2011-02-28",5
"2011-02-28",28
"2011-02-28",92
"2011-02-28",255
"2011-02-28",142
"2011-02-28",92
"2011-02-28",87
"2011-02-28",36
"2011-02-28",32
"2011-02-28",25
"2011-02-28",35
"2011-02-28",42
"2011-02-28",79
"2011-02-28",131
"2011-02-28",80
"2011-02-28",45
"2011-02-28",80
"2011-02-28",76
"2011-02-28",45
"2011-03-20",40
"2011-03-20",24
"2011-03-20",30
"2011-03-20",12
"2011-03-20",3
"2011-03-20",9
"2011-03-20",4
"2011-03-20",14
"2011-03-20",37
"2011-03-20",78
"2011-03-20",136
"2011-03-20",203
"2011-03-20",228
"2011-03-20",203
"2011-03-20",279
"2011-03-20",308
"2011-03-20",224
"2011-03-20",226
"2011-03-20",156
"2011-03-20",79
"2011-03-20",67
"2011-03-20",49
"2011-03-20",38
"2011-03-20",24
"2011-03-21",13
"2011-03-21",7
"2011-03-21",6
"2011-03-21",1
"2011-03-21",2
"2011-03-21",32
"2011-03-21",18
"2011-03-21",98
"2011-03-21",127
"2011-03-21",62
"2011-03-21",79
"2011-03-21",81
"2011-03-21",112
"2011-03-21",101
"2011-03-21",107
"2011-03-21",141
"2011-03-21",272
"2011-03-21",276
"2011-03-21",221
"2011-03-21",122
"2011-03-21",91
"2011-03-21",78
"2011-03-21",30
"2011-03-22",11
"2011-03-22",19
"2011-03-22",1
"2011-03-22",5
"2011-03-22",1
"2011-03-22",12
"2011-03-22",60
"2011-03-22",136
"2011-03-22",336
"2011-03-22",178
"2011-03-22",124
"2011-03-22",86
"2011-03-22",121
"2011-03-22",106
"2011-03-22",101
"2011-03-22",134
"2011-03-22",165
"2011-03-22",307
"2011-03-22",312
"2011-03-22",164
"2011-03-22",135
"2011-03-22",87
"2011-03-22",70
"2011-03-22",32
"2011-03-23",11
"2011-03-23",7
"2011-03-23",2
"2011-03-23",3
"2011-03-23",10
"2011-03-23",44
"2011-03-23",118
"2011-03-23",261
"2011-03-23",182
"2011-03-23",75
"2011-03-23",71
"2011-03-23",87
"2011-03-23",108
"2011-03-23",84
"2011-03-23",85
"2011-03-23",136
"2011-03-23",273
"2011-03-23",238
"2011-03-23",159
"2011-03-23",75
"2011-03-23",22
"2011-03-23",44
"2011-03-23",26
"2011-03-24",11
"2011-03-24",3
"2011-03-24",6
"2011-03-24",1
"2011-03-24",1
"2011-03-24",9
"2011-03-24",41
"2011-03-24",108
"2011-03-24",124
"2011-03-24",97
"2011-03-24",65
"2011-03-24",71
"2011-03-24",94
"2011-03-24",101
"2011-03-24",83
"2011-03-24",90
"2011-03-24",84
"2011-03-24",233
"2011-03-24",214
"2011-03-24",138
"2011-03-24",118
"2011-03-24",78
"2011-03-24",62
"2011-03-24",33
"2011-03-25",18
"2011-03-25",5
"2011-03-25",5
"2011-03-25",2
"2011-03-25",5
"2011-03-25",9
"2011-03-25",32
"2011-03-25",104
"2011-03-25",237
"2011-03-25",166
"2011-03-25",68
"2011-03-25",75
"2011-03-25",145
"2011-03-25",138
"2011-03-25",133
"2011-03-25",122
"2011-03-25",150
"2011-03-25",225
"2011-03-25",198
"2011-03-25",135
"2011-03-25",81
"2011-03-25",75
"2011-03-25",43
"2011-03-25",39
"2011-03-26",28
"2011-03-26",27
"2011-03-26",25
"2011-03-26",9
"2011-03-26",6
"2011-03-26",8
"2011-03-26",10
"2011-03-26",41
"2011-03-26",66
"2011-03-26",100
"2011-03-26",125
"2011-03-26",168
"2011-03-26",227
"2011-03-26",239
"2011-03-26",216
"2011-03-26",219
"2011-03-26",248
"2011-03-26",203
"2011-03-26",153
"2011-03-26",138
"2011-03-26",85
"2011-03-26",51
"2011-03-26",63
"2011-03-26",41
"2011-03-27",31
"2011-03-27",20
"2011-03-27",21
"2011-03-27",14
"2011-03-27",6
"2011-03-27",2
"2011-03-27",7
"2011-03-27",14
"2011-03-27",54
"2011-03-27",86
"2011-03-27",108
"2011-03-27",163
"2011-03-27",147
"2011-03-27",164
"2011-03-27",172
"2011-03-27",143
"2011-03-27",159
"2011-03-27",137
"2011-03-27",103
"2011-03-27",57
"2011-03-27",36
"2011-03-27",30
"2011-03-27",19
"2011-03-28",12
"2011-03-28",6
"2011-03-28",5
"2011-03-28",2
"2011-03-28",8
"2011-03-28",40
"2011-03-28",110
"2011-03-28",254
"2011-03-28",121
"2011-03-28",69
"2011-03-28",57
"2011-03-28",79
"2011-03-28",83
"2011-03-28",80
"2011-03-28",72
"2011-03-28",132
"2011-03-28",252
"2011-03-28",241
"2011-03-28",173
"2011-03-28",112
"2011-03-28",61
"2011-03-28",40
"2011-03-28",19
"2011-03-29",16
"2011-03-29",4
"2011-03-29",3
"2011-03-29",3
"2011-03-29",2
"2011-03-29",8
"2011-03-29",50
"2011-03-29",133
"2011-03-29",287
"2011-03-29",172
"2011-03-29",59
"2011-03-29",81
"2011-03-29",106
"2011-03-29",104
"2011-03-29",86
"2011-03-29",87
"2011-03-29",136
"2011-03-29",299
"2011-03-29",294
"2011-03-29",190
"2011-03-29",132
"2011-03-29",83
"2011-03-29",55
"2011-03-29",35
"2011-03-30",11
"2011-03-30",10
"2011-03-30",4
"2011-03-30",4
"2011-03-30",1
"2011-03-30",7
"2011-03-30",48
"2011-03-30",136
"2011-03-30",263
"2011-03-30",154
"2011-03-30",64
"2011-03-30",90
"2011-03-30",80
"2011-03-30",98
"2011-03-30",80
"2011-03-30",70
"2011-03-30",36
"2011-03-30",116
"2011-03-30",85
"2011-03-30",72
"2011-03-30",44
"2011-03-30",27
"2011-03-30",24
"2011-03-30",12
"2011-03-31",3
"2011-03-31",5
"2011-03-31",5
"2011-03-31",1
"2011-03-31",2
"2011-03-31",8
"2011-03-31",36
"2011-03-31",92
"2011-03-31",192
"2011-03-31",132
"2011-03-31",69
"2011-03-31",58
"2011-03-31",90
"2011-03-31",68
"2011-03-31",76
"2011-03-31",65
"2011-03-31",85
"2011-03-31",168
"2011-03-31",177
"2011-03-31",130
"2011-03-31",85
"2011-03-31",60
"2011-03-31",51
"2011-03-31",27
"2011-04-20",33
"2011-04-20",7
"2011-04-20",2
"2011-04-20",2
"2011-04-20",9
"2011-04-20",15
"2011-04-20",64
"2011-04-20",237
"2011-04-20",396
"2011-04-20",197
"2011-04-20",131
"2011-04-20",118
"2011-04-20",145
"2011-04-20",177
"2011-04-20",148
"2011-04-20",145
"2011-04-20",255
"2011-04-20",432
"2011-04-20",441
"2011-04-20",383
"2011-04-20",225
"2011-04-20",172
"2011-04-20",117
"2011-04-20",93
"2011-04-21",44
"2011-04-21",26
"2011-04-21",13
"2011-04-21",7
"2011-04-21",6
"2011-04-21",14
"2011-04-21",75
"2011-04-21",198
"2011-04-21",365
"2011-04-21",196
"2011-04-21",98
"2011-04-21",133
"2011-04-21",199
"2011-04-21",177
"2011-04-21",228
"2011-04-21",235
"2011-04-21",294
"2011-04-21",481
"2011-04-21",452
"2011-04-21",324
"2011-04-21",204
"2011-04-21",184
"2011-04-21",137
"2011-04-21",99
"2011-04-22",33
"2011-04-22",24
"2011-04-22",9
"2011-04-22",2
"2011-04-22",3
"2011-04-22",16
"2011-04-22",49
"2011-04-22",180
"2011-04-22",346
"2011-04-22",195
"2011-04-22",136
"2011-04-22",106
"2011-04-22",80
"2011-04-22",40
"2011-04-22",36
"2011-04-22",75
"2011-04-22",62
"2011-04-22",69
"2011-04-22",51
"2011-04-22",55
"2011-04-22",47
"2011-04-22",28
"2011-04-22",24
"2011-04-22",17
"2011-04-23",18
"2011-04-23",16
"2011-04-23",17
"2011-04-23",4
"2011-04-23",5
"2011-04-23",7
"2011-04-23",11
"2011-04-23",19
"2011-04-23",47
"2011-04-23",68
"2011-04-23",129
"2011-04-23",232
"2011-04-23",291
"2011-04-23",312
"2011-04-23",391
"2011-04-23",397
"2011-04-23",426
"2011-04-23",383
"2011-04-23",376
"2011-04-23",283
"2011-04-23",183
"2011-04-23",135
"2011-04-23",169
"2011-04-23",117
"2011-04-24",96
"2011-04-24",54
"2011-04-24",72
"2011-04-24",24
"2011-04-24",5
"2011-04-24",12
"2011-04-24",13
"2011-04-24",27
"2011-04-24",80
"2011-04-24",177
"2011-04-24",289
"2011-04-24",317
"2011-04-24",388
"2011-04-24",441
"2011-04-24",420
"2011-04-24",369
"2011-04-24",359
"2011-04-24",331
"2011-04-24",270
"2011-04-24",194
"2011-04-24",105
"2011-04-24",61
"2011-04-24",45
"2011-04-24",42
"2011-04-25",12
"2011-04-25",10
"2011-04-25",10
"2011-04-25",10
"2011-04-25",5
"2011-04-25",17
"2011-04-25",66
"2011-04-25",196
"2011-04-25",353
"2011-04-25",174
"2011-04-25",125
"2011-04-25",147
"2011-04-25",188
"2011-04-25",203
"2011-04-25",146
"2011-04-25",175
"2011-04-25",239
"2011-04-25",521
"2011-04-25",499
"2011-04-25",382
"2011-04-25",237
"2011-04-25",190
"2011-04-25",106
"2011-04-25",62
"2011-04-26",27
"2011-04-26",21
"2011-04-26",26
"2011-04-26",21
"2011-04-26",6
"2011-04-26",16
"2011-04-26",80
"2011-04-26",270
"2011-04-26",449
"2011-04-26",199
"2011-04-26",120
"2011-04-26",172
"2011-04-26",186
"2011-04-26",176
"2011-04-26",155
"2011-04-26",153
"2011-04-26",291
"2011-04-26",521
"2011-04-26",528
"2011-04-26",328
"2011-04-26",234
"2011-04-26",195
"2011-04-26",148
"2011-04-26",78
"2011-04-27",27
"2011-04-27",17
"2011-04-27",5
"2011-04-27",7
"2011-04-27",6
"2011-04-27",17
"2011-04-27",84
"2011-04-27",246
"2011-04-27",444
"2011-04-27",181
"2011-04-27",92
"2011-04-27",156
"2011-04-27",173
"2011-04-27",150
"2011-04-27",148
"2011-04-27",138
"2011-04-27",218
"2011-04-27",521
"2011-04-27",412
"2011-04-27",260
"2011-04-27",218
"2011-04-27",145
"2011-04-27",129
"2011-04-27",78
"2011-04-28",54
"2011-04-28",20
"2011-04-28",21
"2011-04-28",3
"2011-04-28",9
"2011-04-28",13
"2011-04-28",86
"2011-04-28",215
"2011-04-28",398
"2011-04-28",183
"2011-04-28",54
"2011-04-28",84
"2011-04-28",107
"2011-04-28",121
"2011-04-28",142
"2011-04-28",163
"2011-04-28",270
"2011-04-28",455
"2011-04-28",530
"2011-04-28",404
"2011-04-28",269
"2011-04-28",194
"2011-04-28",153
"2011-04-28",110
"2011-04-29",48
"2011-04-29",31
"2011-04-29",10
"2011-04-29",5
"2011-04-29",6
"2011-04-29",25
"2011-04-29",71
"2011-04-29",240
"2011-04-29",421
"2011-04-29",230
"2011-04-29",156
"2011-04-29",157
"2011-04-29",223
"2011-04-29",308
"2011-04-29",248
"2011-04-29",252
"2011-04-29",299
"2011-04-29",508
"2011-04-29",439
"2011-04-29",270
"2011-04-29",194
"2011-04-29",195
"2011-04-29",146
"2011-04-29",113
"2011-04-30",106
"2011-04-30",74
"2011-04-30",65
"2011-04-30",17
"2011-04-30",7
"2011-04-30",7
"2011-04-30",21
"2011-04-30",48
"2011-04-30",91
"2011-04-30",156
"2011-04-30",279
"2011-04-30",321
"2011-04-30",416
"2011-04-30",455
"2011-04-30",452
"2011-04-30",499
"2011-04-30",464
"2011-04-30",407
"2011-04-30",371
"2011-04-30",387
"2011-04-30",224
"2011-04-30",177
"2011-04-30",143
"2011-04-30",125
"2011-05-20",48
"2011-05-20",25
"2011-05-20",8
"2011-05-20",5
"2011-05-20",5
"2011-05-20",28
"2011-05-20",117
"2011-05-20",319
"2011-05-20",517
"2011-05-20",234
"2011-05-20",148
"2011-05-20",196
"2011-05-20",255
"2011-05-20",232
"2011-05-20",197
"2011-05-20",242
"2011-05-20",330
"2011-05-20",554
"2011-05-20",473
"2011-05-20",302
"2011-05-20",220
"2011-05-20",195
"2011-05-20",152
"2011-05-20",115
"2011-05-21",98
"2011-05-21",72
"2011-05-21",40
"2011-05-21",19
"2011-05-21",7
"2011-05-21",5
"2011-05-21",28
"2011-05-21",43
"2011-05-21",126
"2011-05-21",225
"2011-05-21",323
"2011-05-21",418
"2011-05-21",493
"2011-05-21",462
"2011-05-21",456
"2011-05-21",506
"2011-05-21",471
"2011-05-21",444
"2011-05-21",444
"2011-05-21",301
"2011-05-21",248
"2011-05-21",227
"2011-05-21",204
"2011-05-21",145
"2011-05-22",131
"2011-05-22",98
"2011-05-22",68
"2011-05-22",33
"2011-05-22",12
"2011-05-22",6
"2011-05-22",18
"2011-05-22",40
"2011-05-22",94
"2011-05-22",189
"2011-05-22",305
"2011-05-22",373
"2011-05-22",401
"2011-05-22",455
"2011-05-22",316
"2011-05-22",331
"2011-05-22",273
"2011-05-22",306
"2011-05-22",358
"2011-05-22",300
"2011-05-22",231
"2011-05-22",136
"2011-05-22",121
"2011-05-22",65
"2011-05-23",41
"2011-05-23",9
"2011-05-23",5
"2011-05-23",4
"2011-05-23",4
"2011-05-23",11
"2011-05-23",96
"2011-05-23",236
"2011-05-23",409
"2011-05-23",167
"2011-05-23",121
"2011-05-23",180
"2011-05-23",204
"2011-05-23",204
"2011-05-23",187
"2011-05-23",176
"2011-05-23",279
"2011-05-23",429
"2011-05-23",453
"2011-05-23",358
"2011-05-23",310
"2011-05-23",188
"2011-05-23",131
"2011-05-23",72
"2011-05-24",35
"2011-05-24",15
"2011-05-24",10
"2011-05-24",2
"2011-05-24",4
"2011-05-24",24
"2011-05-24",112
"2011-05-24",314
"2011-05-24",434
"2011-05-24",138
"2011-05-24",108
"2011-05-24",175
"2011-05-24",170
"2011-05-24",190
"2011-05-24",153
"2011-05-24",188
"2011-05-24",277
"2011-05-24",548
"2011-05-24",564
"2011-05-24",355
"2011-05-24",280
"2011-05-24",189
"2011-05-24",141
"2011-05-24",66
"2011-05-25",35
"2011-05-25",8
"2011-05-25",8
"2011-05-25",9
"2011-05-25",3
"2011-05-25",25
"2011-05-25",117
"2011-05-25",313
"2011-05-25",531
"2011-05-25",234
"2011-05-25",135
"2011-05-25",140
"2011-05-25",210
"2011-05-25",202
"2011-05-25",168
"2011-05-25",182
"2011-05-25",299
"2011-05-25",601
"2011-05-25",517
"2011-05-25",405
"2011-05-25",340
"2011-05-25",236
"2011-05-25",174
"2011-05-25",86
"2011-05-26",45
"2011-05-26",16
"2011-05-26",14
"2011-05-26",4
"2011-05-26",2
"2011-05-26",27
"2011-05-26",98
"2011-05-26",286
"2011-05-26",489
"2011-05-26",216
"2011-05-26",143
"2011-05-26",160
"2011-05-26",194
"2011-05-26",197
"2011-05-26",189
"2011-05-26",141
"2011-05-26",291
"2011-05-26",494
"2011-05-26",478
"2011-05-26",378
"2011-05-26",322
"2011-05-26",223
"2011-05-26",180
"2011-05-26",90
"2011-05-27",69
"2011-05-27",50
"2011-05-27",18
"2011-05-27",12
"2011-05-27",7
"2011-05-27",31
"2011-05-27",81
"2011-05-27",249
"2011-05-27",418
"2011-05-27",227
"2011-05-27",153
"2011-05-27",166
"2011-05-27",243
"2011-05-27",209
"2011-05-27",239
"2011-05-27",356
"2011-05-27",419
"2011-05-27",491
"2011-05-27",399
"2011-05-27",279
"2011-05-27",144
"2011-05-27",151
"2011-05-27",141
"2011-05-27",127
"2011-05-28",94
"2011-05-28",55
"2011-05-28",48
"2011-05-28",15
"2011-05-28",4
"2011-05-28",7
"2011-05-28",19
"2011-05-28",50
"2011-05-28",102
"2011-05-28",177
"2011-05-28",276
"2011-05-28",349
"2011-05-28",358
"2011-05-28",385
"2011-05-28",382
"2011-05-28",374
"2011-05-28",402
"2011-05-28",341
"2011-05-28",385
"2011-05-28",252
"2011-05-28",196
"2011-05-28",201
"2011-05-28",161
"2011-05-28",125
"2011-05-29",83
"2011-05-29",66
"2011-05-29",61
"2011-05-29",26
"2011-05-29",23
"2011-05-29",6
"2011-05-29",15
"2011-05-29",30
"2011-05-29",96
"2011-05-29",152
"2011-05-29",251
"2011-05-29",319
"2011-05-29",402
"2011-05-29",418
"2011-05-29",351
"2011-05-29",376
"2011-05-29",361
"2011-05-29",383
"2011-05-29",328
"2011-05-29",287
"2011-05-29",219
"2011-05-29",229
"2011-05-29",171
"2011-05-29",135
"2011-05-30",103
"2011-05-30",79
"2011-05-30",45
"2011-05-30",18
"2011-05-30",6
"2011-05-30",7
"2011-05-30",16
"2011-05-30",31
"2011-05-30",94
"2011-05-30",128
"2011-05-30",269
"2011-05-30",321
"2011-05-30",366
"2011-05-30",350
"2011-05-30",327
"2011-05-30",311
"2011-05-30",309
"2011-05-30",304
"2011-05-30",249
"2011-05-30",225
"2011-05-30",237
"2011-05-30",149
"2011-05-30",106
"2011-05-30",48
"2011-05-31",29
"2011-05-31",17
"2011-05-31",12
"2011-05-31",4
"2011-05-31",3
"2011-05-31",26
"2011-05-31",109
"2011-05-31",235
"2011-05-31",406
"2011-05-31",175
"2011-05-31",109
"2011-05-31",106
"2011-05-31",162
"2011-05-31",147
"2011-05-31",140
"2011-05-31",175
"2011-05-31",249
"2011-05-31",495
"2011-05-31",417
"2011-05-31",285
"2011-05-31",251
"2011-05-31",210
"2011-05-31",159
"2011-05-31",61
"2011-06-20",26
"2011-06-20",12
"2011-06-20",2
"2011-06-20",1
"2011-06-20",3
"2011-06-20",3
"2011-06-20",26
"2011-06-20",46
"2011-06-20",221
"2011-06-20",219
"2011-06-20",91
"2011-06-20",94
"2011-06-20",162
"2011-06-20",179
"2011-06-20",175
"2011-06-20",205
"2011-06-20",299
"2011-06-20",565
"2011-06-20",538
"2011-06-20",431
"2011-06-20",316
"2011-06-20",206
"2011-06-20",130
"2011-06-20",60
"2011-06-21",33
"2011-06-21",14
"2011-06-21",6
"2011-06-21",2
"2011-06-21",9
"2011-06-21",25
"2011-06-21",115
"2011-06-21",309
"2011-06-21",401
"2011-06-21",275
"2011-06-21",161
"2011-06-21",171
"2011-06-21",189
"2011-06-21",207
"2011-06-21",152
"2011-06-21",170
"2011-06-21",335
"2011-06-21",572
"2011-06-21",536
"2011-06-21",425
"2011-06-21",326
"2011-06-21",229
"2011-06-21",109
"2011-06-21",64
"2011-06-22",33
"2011-06-22",21
"2011-06-22",7
"2011-06-22",7
"2011-06-22",11
"2011-06-22",23
"2011-06-22",122
"2011-06-22",311
"2011-06-22",423
"2011-06-22",219
"2011-06-22",135
"2011-06-22",145
"2011-06-22",188
"2011-06-22",147
"2011-06-22",145
"2011-06-22",146
"2011-06-22",258
"2011-06-22",529
"2011-06-22",513
"2011-06-22",342
"2011-06-22",282
"2011-06-22",247
"2011-06-22",148
"2011-06-22",105
"2011-06-23",49
"2011-06-23",31
"2011-06-23",4
"2011-06-23",5
"2011-06-23",7
"2011-06-23",24
"2011-06-23",100
"2011-06-23",327
"2011-06-23",432
"2011-06-23",227
"2011-06-23",127
"2011-06-23",136
"2011-06-23",160
"2011-06-23",186
"2011-06-23",149
"2011-06-23",189
"2011-06-23",275
"2011-06-23",569
"2011-06-23",540
"2011-06-23",400
"2011-06-23",352
"2011-06-23",234
"2011-06-23",162
"2011-06-23",105
"2011-06-24",63
"2011-06-24",28
"2011-06-24",14
"2011-06-24",5
"2011-06-24",9
"2011-06-24",20
